,BE1,BE2,DE1,DE2,DE3,DE4,DK1,NL1,NL2,NL3,NL4,NO1,UK1,UK2,UK3,UK4,DE_A,DE_B,NL_A,NL_C,NL_D,NL_E,NL_B,DK_B,DK_A,BE_B,DE_D,DE_F,DE_E,DE_C,UK_F,UK_G,UK_D,UK_E,UK_H,UK_B,UK_C,BE_A
0,,,,0.13818044072652916,,0.22314095641766088,0.2719924821503689,,0.027273542479464882,,,,0.004040677435166087,0.07674103521303581,0.10020581751908952,0.1981050127693576,0.2506586085445581,0.2610667590177661,0.07297113635062809,0.012700528073429862,0.03616744736407275,0.21719517072041827,0.06618817585264962,0.7932156946814588,1.0,0.011232679311772329,0.20598615917835836,0.4997393618689642,0.2678410117017908,0.23272933435334026,0.04613505978522196,0.0536200506485241,0.10236721101489216,0.16256256231692642,0.02727101253135691,0.013937509733848292,0.03230469967616768,0.02792351684756756
1,,,,0.10764888502986553,,0.20290806882666226,0.2859447808772318,,0.029612382713117096,,,,0.0006673618583095803,0.1050875125255155,0.11244582966912865,0.2087267059521191,0.22511337148029514,0.2603173454837214,0.07444118264333167,0.01213176315358395,0.04019139674135048,0.18689707332187228,0.0664444500344031,0.8248443669648327,1.0,0.009697212701403021,0.18385246717495832,0.5771268049875896,0.3102571879716214,0.2083951785442507,0.053549723598642636,0.05327133279582941,0.09667768956533292,0.15198484465909984,0.026595770358878563,0.010188928262461957,0.03030458299202543,0.02085462612196286
2,,,,0.0958607662346468,,0.21743852566292549,0.29662393065045045,,0.013438712295732999,,,,0.03149107848788568,0.14790627402660506,0.14208814150901367,0.2536350716567222,0.2268030570938526,0.2956567187209512,0.054940836365285795,0.008801076812871088,0.023899511240080676,0.17559666130277846,0.047891557011145384,0.8067726307129499,1.0,0.0054804487333211934,0.17545333493148757,0.6513013875042951,0.3666814472093455,0.22246563086169993,0.03170774676807133,0.037312123346049206,0.09279967250976805,0.1280500312152446,0.026779759996405788,0.013688288731534947,0.04143395222467607,0.024321325891089436
3,,,,0.10899256311746007,,0.24149886370204124,0.2944360103901728,,0.010526587461170396,,,,0.04638791149171524,0.17901011573109396,0.17383146133680386,0.29560167722316727,0.2470997865121402,0.3282960677817157,0.038934605840733584,0.0,0.01805939028927884,0.1928359423743354,0.031201747648344037,0.7673314339448712,1.0,0.009572569545291931,0.1922178786582092,0.6518116495344375,0.41267546035521735,0.24492249825810705,0.01853111986475336,0.025863865852769414,0.07948050357048002,0.10575337651698168,0.03125997960367719,0.01102744158969172,0.047825987303058266,0.03410478283479929
4,,,,0.14840824418278578,,0.2229090232291729,0.2709924505203602,,0.0,,,,0.030713932443866592,0.22227323181586978,0.21823142055505712,0.33389078594368077,0.2779555432848,0.34042287088930395,0.04436322607848776,0.01019377586313968,0.018874135559790176,0.21863274256388343,0.036293400625259875,0.7267852308994583,0.9991063705522791,0.010981689028821727,0.21877327612112374,0.6238559687579119,0.42346594287347783,0.2658240194534935,0.028725020845336877,0.032732207818771,0.07890809328216282,0.11506228083988428,0.033892778638740705,0.010662241931961991,0.03871516068245641,0.03440615802019834
5,,,,0.17133858209632963,,0.22285001962487921,0.2828317694777262,,0.009227804133766575,,,,0.0033485950162649037,0.24842919257360893,0.2435715624013548,0.35010778096993805,0.2963192362334637,0.3568102129601907,0.06709753965630562,0.0,0.024876323221498076,0.24569143613179528,0.06116975571703217,0.7214052214316798,0.7795789928711953,0.0038855343192902045,0.23813550725324487,0.7019329696231417,0.4434696448183324,0.2843536975675917,0.03588668924746598,0.05167825036447732,0.0885580675976628,0.16690338577953326,0.030505081427888835,0.01955121413327387,0.02743164666323568,0.010893164150012048
6,,,,0.17607123217908252,,0.22807088987597385,0.270572356765416,,0.0,,,,0.004921726502152919,0.2715580163976368,0.245420401779362,0.3666462905222732,0.29713909702499186,0.3905504356796543,0.07372609985166274,0.0,0.02632874880686441,0.2371282474199931,0.07190877885529988,0.6370228321963792,0.41473733435705595,0.0,0.23543236641194573,0.8045682651025278,0.4295707231167669,0.28556983701237354,0.029533726853566367,0.0530517694500506,0.10058097705754684,0.23371451807614907,0.01646666123581812,0.010093294384874921,0.019935508520271632,0.0
7,,,,0.1695633459282687,,0.23111057806665553,0.2420544794676862,,0.0,,,,0.02353722252137443,0.3187550446999073,0.24080447499564767,0.41605360396659313,0.25821315822075314,0.4077140475726421,0.057026967877626164,0.0,0.019819360638857496,0.17330491012997098,0.05702468729296385,0.4493132249148023,0.21618179919948413,0.0,0.19892442622211623,0.8477359397323044,0.396599436846491,0.2573418461168901,0.01692422820552086,0.042212662631466454,0.12019152356684229,0.2796171815424267,0.011728584218205796,0.0065928959782358566,0.02233657480216403,0.0
8,,,,0.13963211051910276,,0.20035846378712688,0.21057435066902946,,0.0,,,,0.026339956352889646,0.35444431551345756,0.21128708280397324,0.4632503412379482,0.2310590822587661,0.41443044145009045,0.03339435942557705,0.0,0.011863969053741243,0.14110856586032441,0.035774318997579414,0.24273101304437456,0.12759609040703862,0.0,0.16400289750341143,0.7011489880526506,0.372090492031791,0.2504671109463679,0.008980547696245306,0.034353448109619024,0.14323762997782885,0.26412383855405175,0.0228789009348084,0.0,0.011228529229853393,0.0
9,,,,0.1230777308644061,,0.18302063843324343,0.2035823166711943,,0.0,,,,0.035095759026341336,0.36257150670474464,0.16144931265563472,0.4871913204991157,0.2196387941998786,0.4205972397864498,0.016205725761231537,0.0,0.004455389160843398,0.13224617799123126,0.016916094887078667,0.11228334157086228,0.09980797873836796,0.0,0.14793290541332674,0.4890921563572354,0.3375925920253547,0.25831714079660023,0.008045799408499841,0.027657297907710668,0.16469918351782944,0.23418906477308948,0.026337167960877022,0.0,0.0064562606063540634,0.0
