,BE1,BE2,DE1,DE2,DE3,DE4,DK1,NL1,NL2,NL3,NL4,NO1,UK1,UK2,UK3,UK4
0,0.999,0.36174492067865177,0.38417602968454995,0.5414553197300972,0.473576106496436,0.5992659478529555,0.8208342797877465,0.8687432941117847,0.8679421396188003,0.7852560525008445,0.3638080454239306,0.38767575047192504,0.9793492054989456,0.841340856385914,0.6035038197131581,0.7416443540098369
1,1.0,0.5050442050027394,0.4115628358857185,0.6064936171042996,0.5040231632420236,0.5204104173276727,0.8695718922529453,0.9324670065313881,0.9152856079329187,0.8546706193732052,0.4502614327867481,0.39357572195536833,0.973091713632309,0.8115642658832678,0.6612202402071327,0.7417546295155211
2,0.999,0.6022346603888377,0.46949919226932135,0.6047468085521497,0.5908554333188506,0.552354264447389,0.885145378683837,0.951660345898806,0.9438965735646883,0.9204320294988132,0.5015241824632107,0.40048959840663484,0.9627785201915475,0.7975103137609958,0.7417379769433737,0.7302746990239707
3,0.9969999999999999,0.6424750832497951,0.47823447270502567,0.6973836883722145,0.6803488432146593,0.6008955450631768,0.8504859267949316,0.9658536852662236,0.9607172588517507,0.9615531050315794,0.5793512722695937,0.39789162350928076,0.9471533320522509,0.7935737622534461,0.7594709823868624,0.7000210237330714
4,0.989,0.6740481847379082,0.555966279825861,0.787890071267915,0.7477316793902018,0.6347381102880078,0.8258671307639708,0.9679862785292701,0.9697506960164571,0.9736538201004384,0.6464074554687087,0.4064424837525722,0.943025606361758,0.8073027261855019,0.7561176270737041,0.7124967436863753
5,0.974,0.6820677067865292,0.6142444076815172,0.8328056741186316,0.7941221484574761,0.6342094077585353,0.7991318602211229,0.9786133212651644,0.9769877883917535,0.9881138572826756,0.6885745872026872,0.42427613369889433,0.9281245633279305,0.8249436680968907,0.7704844154882224,0.6757328399883514
6,0.946,0.6981193059665125,0.6654415023697727,0.9113120570143319,0.8499819163478686,0.6519341281699969,0.8058260288108545,0.9764807280021178,0.9765744135258708,0.9932207604128661,0.7187593997168504,0.4471384001524103,0.9194517586917967,0.8581994296621279,0.7819389917874118,0.6326381694348834
7,0.9029999999999999,0.6588777774996208,0.7029332656590355,0.9375371160790876,0.907037860327087,0.6921272861765628,0.8139772475164695,0.9844088808434431,0.9731640708823397,0.9932980112915915,0.6508563577316142,0.4749809588606071,0.8912835320925102,0.8845679152555178,0.7849950599893198,0.6785722583260526
8,0.886,0.6501039754922431,0.7028489019751049,0.9007468085521497,0.9236072686900815,0.7180753220135572,0.799456681142829,0.9699503549499325,0.966273479043513,0.9880366064039506,0.6105393477771662,0.49964702484305057,0.8754698415862022,0.9157494177029841,0.8170626434276722,0.7541802139155126
9,0.888,0.6736753139153625,0.6520890172058471,0.8803375885971336,0.9226800701563322,0.750011670559053,0.7864472101800077,0.9776133212651646,0.9561761997717454,0.9798112675583049,0.552643567461975,0.5190144525321005,0.8534339572738373,0.9296224826804675,0.7909270502578093,0.7898817722548078
10,0.854,0.7442698593573704,0.6002468246687097,0.9711687942985667,0.9820436985291264,0.7715671931723644,0.7315759835259859,0.9625166515814557,0.9341883286611506,0.9557396643316604,0.5095467791789613,0.500899810492585,0.8936190680253033,0.9316472704609456,0.8206767418773394,0.8285902356220824
11,0.949,0.7370418269592491,0.6288040059690355,0.8247262403598703,0.944113201848994,0.7629297661132906,0.7823126658729503,0.9691188717923163,0.9790212255564599,0.9786775671644572,0.6112523034673568,0.5087239239316663,0.8675703805320591,0.930212180489178,0.8091204762698223,0.8342329330632259
12,0.994,0.8393563988624289,0.7213962196981086,0.9341969266816612,0.9765587682102681,0.8184435620076684,0.8360060292670408,0.9994337033684768,0.9745774457482224,0.9915977124602329,0.7193062609823059,0.513876612249685,0.8448139475947531,0.9065087009319971,0.8196037360601668,0.8838733316678302
13,0.998,0.9368700675749418,0.8852662918211288,0.978143262715765,0.8951348614605206,0.8362580051452317,0.8445830798599647,1.0,0.9998966562835294,0.9952890415503475,0.9252490957773147,0.5304648586050443,0.9331338733861,0.9631299661694256,0.8923021681839006,0.9255575950358945
14,0.998,0.9479069521809261,0.9233814709574949,0.9602813238309447,0.9023713496852113,0.8493766560940995,0.7960074102126315,1.0,0.9998966562835294,0.9948509888147286,0.9918694638084311,0.5662731185029658,0.9787944348544835,0.9689253966911758,0.8897012976053293,0.969578848384031
15,0.989,0.9443402330380856,0.9857949630027212,0.8351073279317921,0.8764606296800344,0.8719548842274119,0.7151518668738218,1.0,0.9993799377011764,0.9854862719260367,0.9670953065570495,0.5957204966537241,0.9727542403178352,0.9705834254583132,0.8717978705445375,0.9857678815308908
16,0.992,0.9069455696081522,0.950517053419867,0.8268848696673292,0.7582262143056614,0.8653833062562638,0.6055450561565235,1.0,0.9971063759388222,0.9975157233138686,0.9413500133047078,0.6082121342449158,0.9689748783828637,0.9643463091948633,0.8133101336088093,0.9371896390979702
17,0.924,0.8502058439030534,0.9691385047941473,0.9523300244063184,0.7017388321780254,0.8773120156007935,0.5624223235597624,0.9865414741064894,0.9884255037552883,0.9998817011101839,0.9320718130487204,0.6048253145175383,0.9812818994861684,0.9639587170143217,0.757557235167805,0.8655537753739719
18,0.849,0.7071692094691732,0.9811525436183585,0.990936171042996,0.6544079843686192,0.9034092833500726,0.5461352953728823,0.983408880843443,0.9864619731423461,0.9999999999999998,0.908591784370561,0.5878533545004601,0.9913071488491241,0.9673285277325051,0.7285946379629317,0.853855989827856
19,0.912,0.6068486001972763,0.9874206650983536,0.9891510651166437,0.557569977756622,0.927498203621312,0.5378271620775341,0.9953011101054303,0.9957629076247039,0.9999999999999998,0.9478481744124806,0.5577863040348733,0.9944241118443885,0.9681026965777239,0.7082096975275556,0.8435912656754414
20,0.951,0.6328861333324347,0.9937558779151614,0.9317676149544927,0.46675927904444287,0.9207719608159183,0.4873231797859264,1.0,0.9989665628352937,0.9997433513522564,0.9821281415968333,0.5308654818780768,0.9959271341402071,0.9683216522265758,0.6780860389144313,0.8379202946357708
21,0.981,0.7040488203746667,0.9972885006866498,0.7974248247567735,0.40684536151691075,0.9024591415029675,0.49336168596364305,1.0,0.9996899688505883,0.9910172973289724,0.9901576012677767,0.5033109132208881,0.9968290189174588,0.9688597790136745,0.6519942616435306,0.8283679217828451
22,0.993,0.7657181927000845,0.9964816599199785,0.9652867636415939,0.2993886877975722,0.8630455480144748,0.3186501495951724,1.0,0.9996899688505883,0.9999999999999998,0.9777600725797472,0.46273120445469007,0.9980188477725163,0.9781775439984769,0.6692780091934143,0.8595503085397269
23,0.989,0.7748787724384807,0.9913820677453051,0.9547853441364157,0.28194312143629824,0.8053264579096399,0.3607390152374978,0.9994337033684768,0.9985531879694111,0.9999999999999998,0.9652391337490297,0.4349473035752702,0.9989819939709077,0.9707839427811898,0.6436353168078244,0.8253195302656794
24,0.998,0.7847061390110767,0.9885244365952097,0.9485832158541687,0.4012283000545494,0.7506097347024814,0.39082899877932975,0.9966022202108608,0.9960729387741158,0.9999999999999998,0.9280726661923822,0.4299005971787336,0.9997056543317547,0.965552626724201,0.5977442815856095,0.7805660800578729
25,1.0,0.8644170224468528,0.984077194706097,0.9369796700177839,0.4644399185944025,0.6733225254718384,0.46157005525436584,0.9903729572641055,0.9942127518776442,0.9999999999999998,0.9254207836433422,0.4327545836659114,0.999803769554503,0.962550484984856,0.5711251898314301,0.7443576531883768
26,0.999,0.9021339352485254,0.9794307684676379,0.9010231689925723,0.4902960088585314,0.6569728097531587,0.6175887445764638,0.9665884987401309,0.9862552857094048,0.9999999999999998,0.9027061096639556,0.4344990059536324,0.9999018847772515,0.9581606792091001,0.5244845818379136,0.69768010047548
27,0.999,0.853361859004822,0.9820487721215027,0.9150205681922795,0.5293266154261533,0.6420300922333064,0.7366442533881441,0.9899392538956286,0.9888388786211709,0.9998817011101839,0.8896615300335026,0.43796087960737157,0.9999018847772515,0.9499031178478893,0.46191042880091476,0.6632494171248373
28,1.0,0.8066576709696781,0.9853453875852618,0.9476087474369702,0.7006422235968494,0.66357304760955,0.8643258745584916,0.9984337033684767,0.9942127518776442,0.9991719077712893,0.8919495858801124,0.4360232069010192,0.9999018847772515,0.9381710097253751,0.41408434843240804,0.6334339846055405
29,1.0,0.8023114096885662,0.984569130463446,0.8859208044513024,0.7434250580879596,0.6713667334772361,0.8982011535097024,0.9985662966315232,0.9972097196552928,0.9996451033305525,0.9161194249839513,0.4276232890891551,0.999803769554503,0.9177246634884959,0.39209698850821983,0.5895597756749817
30,0.999,0.8117694013930639,0.9828924655163032,0.6670869979495763,0.7351983499107856,0.6696523480186468,0.8916586101858996,1.0,0.9984498442529405,0.9967036693155565,0.9349011132842572,0.4019439324837495,0.9994725700846496,0.8994228090445648,0.3636546770279854,0.5226439951909183
31,0.999,0.8529990811467707,0.9737463336795581,0.4462914888220526,0.7357635250214929,0.697742871202395,0.8862855005409395,1.0,0.9992765939847056,0.9357355897251274,0.9397257707847566,0.3637983805690152,0.9989451401692994,0.8843493975476775,0.331851520118313,0.46072366536830894
32,1.0,0.9223217805223016,0.9014916542359639,0.42437588597133596,0.7350047135300021,0.7014515743380488,0.8857368929758523,1.0,0.999483281417647,0.8987244080482043,0.8969953685719904,0.3349233745382929,0.9984545640555575,0.8584062792071184,0.28915782093338455,0.40429160399563446
33,1.0,0.9636343952725943,0.7930831445138566,0.42575697354325776,0.7193688092819412,0.6927827986352152,0.8892997915196715,1.0,0.999483281417647,0.8999985675991967,0.841165127452784,0.3212198387689334,0.9975959346703537,0.8271846094012066,0.24563973937542477,0.35252472170256494
34,1.0,0.9772313998467549,0.6598316015995461,0.34396146441573405,0.8275613954699615,0.6667602371191057,0.9168266119962087,1.0,0.9981398131035287,0.8385954361318441,0.778743914931988,0.3180839954458142,0.9884882554946028,0.7629007834626836,0.16541732697249475,0.29727335336483357
35,1.0,0.9867348996199146,0.5518355411297663,0.26571843795899186,0.9826442823319494,0.6743472578537857,0.930051416779857,1.0,0.9956595639082332,0.8609549211897559,0.7157457164446978,0.3095835754481702,0.9358882152110986,0.6573692931783157,0.13898065466786824,0.19164810323210058
36,1.0,0.9934834956487051,0.5448008912913206,0.32788723225755856,0.9488280232307429,0.656654733068261,0.9115194890364547,1.0,0.993832814176468,0.8809630874291715,0.7104944426117022,0.3024198366826367,0.8814804259089543,0.5674299980403125,0.10974244785390214,0.18438261888508828
37,0.999,0.9920861914720197,0.5661355449744474,0.5372044908724762,0.8408318021762615,0.6356117545669595,0.9079658997232765,1.0,0.9921793147129379,0.9016474407764431,0.7553460438115738,0.30061653252266207,0.8175337299986264,0.5403621361360458,0.09419908761253232,0.15587596870858136
38,0.993,0.9897657274139232,0.6969462281115117,0.5626316782194791,0.789276217373131,0.6739827943831959,0.8987942926374455,1.0,0.9882157840999957,0.914131560855627,0.7446065675196156,0.29838225401336815,0.8859458557637101,0.5718902191541196,0.07472458005223664,0.13620037660264633
39,0.987,0.9723082438967984,0.6147359393294044,0.6439744684171984,0.790403459188103,0.620062636962882,0.8991031532529241,0.9994337033684768,0.967847975288225,0.9220299446790243,0.6583285607464534,0.2995301072603718,0.9108777326493588,0.5260945567107157,0.06208155596228653,0.1416921175417238
40,0.989,0.9327187892512776,0.6051100310206456,0.5298848696673293,0.8033510034428215,0.5772198350327647,0.8830105362955998,0.9932044404217215,0.9160303222235139,0.9037602127239048,0.5801447867733043,0.2970824484865021,0.8961400703654064,0.49755263711264286,0.055253852892482025,0.15495186487787488
41,0.992,0.845748002073075,0.5710086186465902,0.4342326232555707,0.7935427568870339,0.5401300136716873,0.8556919020684506,0.9712514650553629,0.8283828872046864,0.8314455122514518,0.48320386062351317,0.2897755225307934,0.8646119264524519,0.4650477683318446,0.04133038947042217,0.15508838603386665
42,0.986,0.7606697940356694,0.49844947842383636,0.4105702118527044,0.7440222284837333,0.5059049606964848,0.8125060990020315,0.9068262423247636,0.7554922953658599,0.768811118223028,0.38911169021902625,0.27128838188055115,0.8378935966856375,0.4236230602684789,0.022347176478825934,0.13913755326445837
43,0.967,0.6804125473689654,0.4600499955330743,0.3963886517627368,0.6602187838786332,0.48306169141646726,0.7847910982381586,0.8283043499104557,0.7368083909599745,0.7219671191151139,0.32678953537749444,0.24715822715548874,0.790155577402883,0.38761273935737495,0.014202537166265988,0.11856349920915464
44,0.9029999999999999,0.585215412257108,0.402475083820866,0.35189763545873,0.568003867192397,0.4550538451946467,0.7470018647537038,0.7490613654929704,0.7326047357493848,0.7124180686013393,0.2769310155716405,0.22579527218921544,0.7259950020167683,0.35026044984136717,0.022358587369154026,0.09920129615920045
45,0.7680000000000001,0.4648610007697203,0.35574543776029166,0.3330945621403913,0.5003294456719708,0.41819309147978356,0.6762530567706647,0.6267628758039662,0.7200880171670314,0.6862472518170663,0.23475290765111498,0.2164467218690801,0.6281160968638393,0.31419884364338524,0.0216699588765252,0.08910429644823428
