,BE1,BE2,DE1,DE2,DE3,DE4,DK1,NL1,NL2,NL3,NL4,NO1,UK1,UK2,UK3,UK4
35,0.22299999999999998,0.2764250492124921,0.18954805664527075,0.0003091764010411599,0.06964013180174378,0.2147948886088085,0.06882604532283527,0.23510930591156112,0.16571743522940127,0.050758324489676876,0.22047227206291597,0.0,0.0,0.0,0.0,0.009296715585111106
36,0.32999999999999996,0.3348629094269531,0.26639954433884433,0.04785946527225403,0.10282260888602447,0.24384823611033646,0.12517354407185136,0.28949990387695457,0.20459199163052857,0.1005365094600694,0.2553737609902644,0.0,0.05787214380263921,0.006815201523138015,0.017164944009156618,0.04838810681116556
37,0.346,0.3452450519291013,0.2563058686039315,0.10567897355918779,0.11744993616609264,0.23847943415868209,0.08449413925486636,0.31192184195770306,0.246900151797918,0.12888967746765595,0.2800793250089849,0.0,0.05275423596196003,0.0029885558969239777,0.02355972707139144,0.03342411166174517
38,0.283,0.2761332020087842,0.22191042697613603,0.06763460970786046,0.044568799504944766,0.16511296830177802,0.031712147519791144,0.2487811959307869,0.17705727296964396,0.13157394091395386,0.21642696672802572,0.0,0.03507015900555699,0.0027672449509577373,0.02187688942343491,0.03633872148797603
39,0.18000000000000002,0.16896602914273587,0.1398401063583411,0.0,0.0,0.10078031090871804,0.0,0.13549990387695457,0.07690623397398057,0.08963661790729557,0.1296241725123819,0.0,0.024584813097575063,0.001533207543664338,0.0,0.008596730886037478
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
